participant,pair,block,trial,match_label,match_shape,trial_type,trial_label,trial_shape,response,RTms,acc
207844,2,2,58,earth,S.bmp,mismatch,sky,T.bmp,m,36.71469999972032,0
207844,2,2,59,earth,S.bmp,mismatch,earth,T.bmp,m,631.5131999999721,0
207844,2,2,60,earth,S.bmp,match,earth,S.bmp,m,382.4008000001413,1
207844,3,1,1,sky,C.bmp,mismatch,earth,S.bmp,m,1476.7605999995794,0
207844,3,1,2,sky,C.bmp,mismatch,earth,S.bmp,m,62.41319999980987,0
207844,3,1,3,sky,C.bmp,mismatch,earth,T.bmp,m,33.14399999999296,0
207844,3,1,4,sky,C.bmp,mismatch,earth,S.bmp,m,44.06389999985549,0
207844,3,1,5,sky,C.bmp,mismatch,air,S.bmp,m,43.17070000024614,0
207844,3,1,6,sky,C.bmp,match,sky,C.bmp,m,37.68689999969865,1
207844,3,1,7,sky,C.bmp,match,sky,C.bmp,m,12.36199999993914,1
207844,3,1,8,sky,C.bmp,mismatch,air,T.bmp,m,23.24859999998807,0
207844,3,1,9,sky,C.bmp,match,sky,C.bmp,m,41.43520000025091,1
207844,3,1,10,sky,C.bmp,mismatch,air,C.bmp,m,41.58250000000407,0
207844,3,1,11,sky,C.bmp,mismatch,earth,S.bmp,m,27.68869999999879,0
207844,3,1,12,sky,C.bmp,match,sky,C.bmp,m,47.60170000008656,1
207844,3,1,13,sky,C.bmp,mismatch,air,T.bmp,m,41.26960000030522,0
207844,3,1,14,sky,C.bmp,mismatch,air,C.bmp,m,36.94240000004356,0
207844,3,1,15,sky,C.bmp,mismatch,sky,S.bmp,m,18.6124000001655,0
207844,3,1,16,sky,C.bmp,mismatch,earth,T.bmp,m,33.08960000003935,0
207844,3,1,17,sky,C.bmp,mismatch,earth,T.bmp,m,58.65029999995386,0
207844,3,1,18,sky,C.bmp,mismatch,earth,T.bmp,m,47.9365000001053,0
207844,3,1,19,sky,C.bmp,mismatch,air,C.bmp,m,56.7455999998856,0
207844,3,1,20,sky,C.bmp,mismatch,air,T.bmp,m,72.37549999990733,0
207844,3,1,21,sky,C.bmp,mismatch,sky,T.bmp,m,38.08610000032786,0
207844,3,1,22,sky,C.bmp,mismatch,earth,S.bmp,m,46.11620000014227,0
207844,3,1,23,sky,C.bmp,match,sky,C.bmp,m,45.50749999998516,1
207844,3,1,24,sky,C.bmp,match,sky,C.bmp,m,58.87530000018159,1
207844,3,1,25,sky,C.bmp,mismatch,sky,T.bmp,m,59.14910000001328,0
207844,3,1,26,sky,C.bmp,mismatch,earth,C.bmp,m,49.34360000015658,0
207844,3,1,27,sky,C.bmp,match,sky,C.bmp,m,55.27149999988978,1
207844,3,1,28,sky,C.bmp,mismatch,air,T.bmp,m,43.50080000040179,0
207844,3,1,29,sky,C.bmp,match,sky,C.bmp,m,57.52910000001066,1
207844,3,1,30,sky,C.bmp,mismatch,sky,T.bmp,m,47.35000000027867,0
207844,3,1,31,sky,C.bmp,match,sky,C.bmp,m,49.99429999998028,1
207844,3,1,32,sky,C.bmp,match,sky,C.bmp,m,64.88619999981893,1
207844,3,1,33,sky,C.bmp,mismatch,air,S.bmp,m,48.8390000000436,0
207844,3,1,34,sky,C.bmp,match,sky,C.bmp,m,53.2628000000841,1
207844,3,1,35,sky,C.bmp,mismatch,air,C.bmp,m,45.89620000024297,0
207844,3,1,36,sky,C.bmp,mismatch,sky,S.bmp,m,33.83549999989554,0
207844,3,1,37,sky,C.bmp,match,sky,C.bmp,m,66.46760000012364,1
207844,3,1,38,sky,C.bmp,mismatch,air,T.bmp,m,61.2688999999591,0
207844,3,1,39,sky,C.bmp,match,sky,C.bmp,m,39.3355999999585,1
207844,3,1,40,sky,C.bmp,mismatch,sky,T.bmp,m,47.86220000005414,0
207844,3,1,41,sky,C.bmp,mismatch,sky,T.bmp,m,47.10890000023937,0
207844,3,1,42,sky,C.bmp,mismatch,sky,S.bmp,m,51.49279999977807,0
207844,3,1,43,sky,C.bmp,match,sky,C.bmp,m,57.82809999982419,1
207844,3,1,44,sky,C.bmp,mismatch,air,C.bmp,m,17.0882000002166,0
207844,3,1,45,sky,C.bmp,mismatch,air,C.bmp,m,28.26499999991938,0
207844,3,1,46,sky,C.bmp,match,sky,C.bmp,m,44.43140000012136,1
207844,3,1,47,sky,C.bmp,match,sky,C.bmp,m,45.35660000010466,1
207844,3,1,48,sky,C.bmp,mismatch,air,S.bmp,m,46.10699999966528,0
207844,3,1,49,sky,C.bmp,mismatch,sky,T.bmp,m,44.83320000008461,0
207844,3,1,50,sky,C.bmp,match,sky,C.bmp,m,66.99070000013307,1
207844,3,1,51,sky,C.bmp,mismatch,sky,S.bmp,m,51.95319999984349,0
207844,3,1,52,sky,C.bmp,mismatch,sky,T.bmp,m,50.52900000009686,0
207844,3,1,53,sky,C.bmp,mismatch,air,T.bmp,m,36.17030000032173,0
207844,3,1,54,sky,C.bmp,match,sky,C.bmp,m,43.94159999992553,1
207844,3,1,55,sky,C.bmp,mismatch,air,C.bmp,m,57.20209999981307,0
207844,3,1,56,sky,C.bmp,mismatch,air,S.bmp,m,47.44320000008884,0
207844,3,1,57,sky,C.bmp,mismatch,air,C.bmp,m,54.03149999983725,0
207844,3,1,58,sky,C.bmp,match,sky,C.bmp,m,36.66990000010628,1
207844,3,1,59,sky,C.bmp,match,sky,C.bmp,m,30.87010000035661,1
207844,3,1,60,sky,C.bmp,mismatch,air,T.bmp,m,72.7681000003031,0
